Model,Horizon,MAE,RMSE,MAPE,sMAPE
LSTM,15 min,4.0505194664001465,6.734889507293701,11.287786483764648,9.07575511932373
LSTM,30 min,4.231175899505615,7.092533588409424,11.892294883728027,9.452194213867188
LSTM,60 min,4.622352123260498,7.754918098449707,13.16678237915039,10.242968559265137
GRU,15 min,3.908339738845825,6.438558578491211,10.641069412231444,8.746710777282715
GRU,30 min,4.141090393066406,6.882944583892822,11.375045776367188,9.224649429321287
GRU,60 min,4.577822208404541,7.614374160766602,12.754925727844238,10.108363151550291
BILSTM,15 min,3.836310863494873,6.376343250274658,10.464741706848145,8.61289119720459
BILSTM,30 min,4.083517074584961,6.876556873321533,11.34324836730957,9.141372680664062
BILSTM,60 min,4.5110015869140625,7.651706218719482,12.86950969696045,10.026322364807127
TRANSFORMER,15 min,3.890666484832764,6.503954887390137,10.463907241821287,8.779190063476562
TRANSFORMER,30 min,4.061244964599609,6.872013092041016,11.07706069946289,9.16074275970459
TRANSFORMER,60 min,4.415292263031006,7.523867607116699,12.325749397277832,9.904783248901367
ARIMA,15 min,2.9034600257873535,5.617006778717041,6.712995529174805,6.399855136871338
ARIMA,30 min,3.429455518722534,7.113123416900635,8.347454071044922,7.642823219299316
ARIMA,60 min,4.242337703704834,8.51020336151123,10.740249633789062,9.438812255859377
TRANSFORMER+BiLSTM,15 min,3.855360507965088,6.418977737426758,10.277131080627441,8.626927375793457
TRANSFORMER+BiLSTM,30 min,4.020533561706543,6.797584533691406,10.915398597717285,8.994744300842285
TRANSFORMER+BiLSTM,60 min,4.370312690734863,7.464377403259277,12.226520538330078,9.73429012298584
