Model,Horizon,MAE,RMSE,MAPE,sMAPE
LSTM,15 min,2.5353336334228516,4.672576427459717,5.888225555419922,5.0001020431518555
LSTM,30 min,2.597095012664795,4.792423725128174,6.019582271575928,5.114962100982666
LSTM,60 min,2.7657310962677,5.067782878875732,6.408043384552002,5.428879261016846
GRU,15 min,2.5485763549804688,4.586116790771484,5.860589981079102,5.013790130615234
GRU,30 min,2.6561572551727295,4.811677932739258,6.120030879974365,5.2135138511657715
GRU,60 min,2.930419683456421,5.27485990524292,6.764244079589844,5.713383197784424
BILSTM,15 min,2.438660144805908,4.4524664878845215,5.5826592445373535,4.811036109924316
BILSTM,30 min,2.525947093963623,4.645447254180908,5.803121089935303,4.9733734130859375
BILSTM,60 min,2.7124533653259277,4.966999530792236,6.254986763000488,5.311380863189697
TRANSFORMER,15 min,2.4925284385681152,4.591170310974121,5.711685657501221,4.935445785522461
TRANSFORMER,30 min,2.5308525562286377,4.697725772857666,5.809211254119873,5.01003360748291
TRANSFORMER,60 min,2.6891567707061768,4.985886096954346,6.153194427490234,5.297299385070801
ARIMA,15 min,2.008077383041382,4.030308723449707,4.18082857131958,4.057604789733887
ARIMA,30 min,2.9496169090270996,6.470105171203613,7.028669357299805,6.051983833312988
ARIMA,60 min,3.877986907958984,8.249777793884277,9.780291557312012,8.048393249511719
TRANSFORMER+BiLSTM,15 min,2.4395840167999268,4.534593105316162,5.541603088378906,4.7983269691467285
TRANSFORMER+BiLSTM,30 min,2.483940839767456,4.64938497543335,5.651064872741699,4.885791301727295
TRANSFORMER+BiLSTM,60 min,2.627706527709961,4.921076774597168,6.015275001525879,5.166088581085205
