Model,Horizon,MAE,RMSE,MAPE,sMAPE
LSTM,15 min,25.236671447753903,38.970027923583984,21.47655487060547,16.536121368408203
LSTM,30 min,25.448020935058594,39.18938064575195,21.71851921081543,16.653976440429688
LSTM,60 min,26.432411193847656,40.21883010864258,22.85053253173828,17.198558807373047
GRU,15 min,26.61012077331543,39.77381134033203,28.96374130249023,18.528491973876953
GRU,30 min,26.350231170654297,39.76212692260742,27.132999420166016,18.024185180664062
GRU,60 min,26.98756980895996,40.95708084106445,24.907947540283203,18.081546783447266
BILSTM,15 min,24.174232482910156,37.82804489135742,20.725730895996097,15.687251091003418
BILSTM,30 min,24.27153968811035,38.01511001586914,20.30976676940918,15.729047775268556
BILSTM,60 min,25.019046783447266,38.89291763305664,21.057119369506836,16.1330509185791
TRANSFORMER,15 min,25.893878936767575,39.39761734008789,23.935720443725582,17.87314796447754
TRANSFORMER,30 min,26.5550537109375,39.9592170715332,25.56716537475586,18.464284896850582
TRANSFORMER,60 min,27.947772979736328,41.23517227172851,28.271928787231445,19.59200859069824
TRANSFORMER+BiLSTM,15 min,24.32831573486328,38.3328971862793,19.78348731994629,15.950007438659668
TRANSFORMER+BiLSTM,30 min,24.527769088745117,38.60190200805664,19.173315048217773,16.367172241210938
TRANSFORMER+BiLSTM,60 min,25.248607635498047,39.50774765014648,18.969133377075195,16.537424087524414
ARIMA,15 min,31.108993530273438,51.065067291259766,18.993741989135742,17.55611801147461
ARIMA,30 min,33.35332489013672,52.689517974853516,23.145692825317383,20.928712844848633
ARIMA,60 min,46.70206832885742,65.17962646484375,40.75882339477539,32.40351104736328
