Baseline_Model,Horizon,Wilcoxon_Statistic,p_value,Significant_0_05,Evaluated_Pairs,Interpretation
LSTM,15m,26522118.0,7.058596906972525e-08,True,10000,Reject H0 (p = 7.06e-08 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
LSTM,30m,27462784.0,7.838724135299563e-18,True,10000,Reject H0 (p = 7.84e-18 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
LSTM,60m,27911752.0,3.484586761687104e-24,True,10000,Reject H0 (p = 3.48e-24 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
GRU,15m,25095156.0,0.37412574887275696,False,10000,Fail to reject H0 (p = 0.3741 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
GRU,30m,26515448.0,8.002223950143161e-08,True,10000,Reject H0 (p = 8.00e-08 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
GRU,60m,27525316.0,1.1797085494084536e-18,True,10000,Reject H0 (p = 1.18e-18 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
BILSTM,15m,24466634.0,0.9670506119728088,False,10000,Fail to reject H0 (p = 0.9671 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
BILSTM,30m,25777496.0,0.00363231566734612,True,10000,Reject H0 (p = 3.63e-03 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
BILSTM,60m,26622024.0,1.0129487471033372e-08,True,10000,Reject H0 (p = 1.01e-08 < 0.05). The paired error differences indicate that the Proposed Hybrid model achieves systematically smaller prediction errors than the baseline.
TRANSFORMER,15m,24785942.0,0.7734096050262451,False,10000,Fail to reject H0 (p = 0.7734 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
TRANSFORMER,30m,24565006.0,0.9351657032966614,False,10000,Fail to reject H0 (p = 0.9352 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
TRANSFORMER,60m,25070956.0,0.40628156065940857,False,10000,Fail to reject H0 (p = 0.4063 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
ARIMA,15m,96643.0,0.9999710321426392,False,685,Fail to reject H0 (p = 1.0000 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
ARIMA,30m,102419.0,0.9981721639633179,False,685,Fail to reject H0 (p = 0.9982 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
ARIMA,60m,118072.0,0.4543238580226898,False,685,Fail to reject H0 (p = 0.4543 >= 0.05). No statistically significant difference in paired prediction errors at alpha=0.05.
